team1,team2,season,toss_winner,toss_decision,winner,venue,result,result_margin,target_runs
Royal Challengers Bangalore,Kings XI Punjab,2,Royal Challengers Bangalore,bat,Kings XI Punjab,Kingsmead,wickets,7.0,169.0
Deccan Chargers,Mumbai Indians,2,Deccan Chargers,bat,Deccan Chargers,Kingsmead,runs,12.0,169.0
Kings XI Punjab,Rajasthan Royals,2,Kings XI Punjab,bat,Kings XI Punjab,Newlands,wickets,6.0,150.0
Royal Challengers Bangalore,Delhi Daredevils,2,Royal Challengers Bangalore,bat,Delhi Daredevils,St George's Park,runs,27.0,140.0
Chennai Super Kings,Deccan Chargers,2,Deccan Chargers,field,Deccan Chargers,Kingsmead,wickets,6.0,166.0
Kolkata Knight Riders,Mumbai Indians,2,Mumbai Indians,bat,Mumbai Indians,St George's Park,runs,92.0,188.0
Delhi Daredevils,Rajasthan Royals,2,Delhi Daredevils,bat,Rajasthan Royals,SuperSport Park,wickets,5.0,144.0
Royal Challengers Bangalore,Kolkata Knight Riders,2,Kolkata Knight Riders,bat,Royal Challengers Bangalore,Kingsmead,wickets,5.0,140.0
Kings XI Punjab,Mumbai Indians,2,Kings XI Punjab,bat,Kings XI Punjab,Kingsmead,runs,3.0,120.0
Chennai Super Kings,Rajasthan Royals,2,Rajasthan Royals,field,Chennai Super Kings,SuperSport Park,wickets,6.0,149.0
Deccan Chargers,Delhi Daredevils,2,Delhi Daredevils,field,Delhi Daredevils,SuperSport Park,runs,38.0,165.0
Kolkata Knight Riders,Mumbai Indians,2,Mumbai Indians,bat,Mumbai Indians,Buffalo Park,runs,9.0,149.0
Royal Challengers Bangalore,Kings XI Punjab,2,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Kingsmead,runs,8.0,146.0
Deccan Chargers,Rajasthan Royals,2,Deccan Chargers,bat,Rajasthan Royals,St George's Park,wickets,3.0,142.0
Chennai Super Kings,Delhi Daredevils,2,Delhi Daredevils,field,Chennai Super Kings,New Wanderers Stadium,runs,18.0,164.0
Kings XI Punjab,Kolkata Knight Riders,2,Kolkata Knight Riders,bat,Kings XI Punjab,St George's Park,wickets,6.0,154.0
Royal Challengers Bangalore,Mumbai Indians,2,Mumbai Indians,bat,Royal Challengers Bangalore,New Wanderers Stadium,wickets,9.0,150.0
Chennai Super Kings,Deccan Chargers,2,Chennai Super Kings,bat,Chennai Super Kings,Buffalo Park,runs,78.0,179.0
