team1,team2,season,toss_winner,toss_decision,winner,venue,result,result_margin,target_runs
Kings XI Punjab,Mumbai Indians,6,Mumbai Indians,field,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,runs,24.0,107.0
Sunrisers Hyderabad,Kolkata Knight Riders,6,Kolkata Knight Riders,bat,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",runs,38.0,173.0
Pune Warriors,Delhi Daredevils,6,Pune Warriors,bat,Pune Warriors,Subrata Roy Sahara Stadium,wickets,5.0,131.0
Chennai Super Kings,Mumbai Indians,6,Chennai Super Kings,bat,Chennai Super Kings,Feroz Shah Kotla,runs,48.0,193.0
Rajasthan Royals,Sunrisers Hyderabad,6,Sunrisers Hyderabad,bat,Rajasthan Royals,Feroz Shah Kotla,wickets,4.0,133.0
Mumbai Indians,Rajasthan Royals,6,Rajasthan Royals,bat,Mumbai Indians,Eden Gardens,wickets,4.0,166.0
Chennai Super Kings,Mumbai Indians,6,Mumbai Indians,bat,Mumbai Indians,Eden Gardens,runs,23.0,149.0
Mumbai Indians,Kolkata Knight Riders,7,Kolkata Knight Riders,bat,Kolkata Knight Riders,Sheikh Zayed Stadium,runs,41.0,164.0
Delhi Daredevils,Royal Challengers Bangalore,7,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Sharjah Cricket Stadium,wickets,8.0,146.0
Sunrisers Hyderabad,Rajasthan Royals,7,Rajasthan Royals,field,Rajasthan Royals,Sheikh Zayed Stadium,wickets,6.0,206.0
Chennai Super Kings,Kings XI Punjab,7,Chennai Super Kings,bat,Kings XI Punjab,Sheikh Zayed Stadium,wickets,4.0,134.0
Kolkata Knight Riders,Delhi Daredevils,7,Kolkata Knight Riders,bat,Delhi Daredevils,Dubai International Cricket Stadium,wickets,7.0,116.0
Royal Challengers Bangalore,Mumbai Indians,7,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Dubai International Cricket Stadium,wickets,4.0,167.0
Rajasthan Royals,Kings XI Punjab,7,Kings XI Punjab,field,Kings XI Punjab,Sharjah Cricket Stadium,wickets,7.0,192.0
Chennai Super Kings,Delhi Daredevils,7,Chennai Super Kings,bat,Chennai Super Kings,Sheikh Zayed Stadium,runs,93.0,178.0
Kings XI Punjab,Sunrisers Hyderabad,7,Sunrisers Hyderabad,field,Kings XI Punjab,Sharjah Cricket Stadium,runs,72.0,194.0
Rajasthan Royals,Chennai Super Kings,7,Rajasthan Royals,field,Chennai Super Kings,Dubai International Cricket Stadium,runs,7.0,141.0
Royal Challengers Bangalore,Kolkata Knight Riders,7,Royal Challengers Bangalore,field,Kolkata Knight Riders,Sharjah Cricket Stadium,runs,2.0,151.0
Sunrisers Hyderabad,Delhi Daredevils,7,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Dubai International Cricket Stadium,runs,4.0,185.0
Chennai Super Kings,Mumbai Indians,7,Mumbai Indians,bat,Chennai Super Kings,Dubai International Cricket Stadium,wickets,7.0,142.0
Rajasthan Royals,Royal Challengers Bangalore,7,Rajasthan Royals,field,Rajasthan Royals,Sheikh Zayed Stadium,wickets,6.0,71.0
Kolkata Knight Riders,Kings XI Punjab,7,Kolkata Knight Riders,field,Kings XI Punjab,Sheikh Zayed Stadium,runs,23.0,133.0
Sunrisers Hyderabad,Chennai Super Kings,7,Sunrisers Hyderabad,bat,Chennai Super Kings,Sharjah Cricket Stadium,wickets,6.0,126.0
Delhi Daredevils,Mumbai Indians,7,Mumbai Indians,bat,Delhi Daredevils,Sharjah Cricket Stadium,wickets,5.0,146.0
Kings XI Punjab,Royal Challengers Bangalore,7,Kings XI Punjab,field,Kings XI Punjab,Dubai International Cricket Stadium,wickets,5.0,125.0
Mumbai Indians,Sunrisers Hyderabad,7,Mumbai Indians,field,Sunrisers Hyderabad,Dubai International Cricket Stadium,runs,15.0,173.0
Chennai Super Kings,Kolkata Knight Riders,7,Chennai Super Kings,bat,Chennai Super Kings,JSCA International Stadium Complex,runs,34.0,149.0
Mumbai Indians,Kings XI Punjab,7,Kings XI Punjab,bat,Mumbai Indians,Wankhede Stadium,wickets,5.0,169.0
Delhi Daredevils,Rajasthan Royals,7,Rajasthan Royals,field,Rajasthan Royals,Feroz Shah Kotla,wickets,7.0,153.0
Royal Challengers Bangalore,Sunrisers Hyderabad,7,Royal Challengers Bangalore,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,wickets,4.0,156.0
Delhi Daredevils,Chennai Super Kings,7,Chennai Super Kings,field,Chennai Super Kings,Feroz Shah Kotla,runs,10.0,171.0
Rajasthan Royals,Kolkata Knight Riders,7,Kolkata Knight Riders,field,Rajasthan Royals,"Sardar Patel Stadium, Motera",wickets,8.0,179.0
Mumbai Indians,Royal Challengers Bangalore,7,Royal Challengers Bangalore,field,Mumbai Indians,Wankhede Stadium,runs,19.0,188.0
Kings XI Punjab,Chennai Super Kings,7,Chennai Super Kings,field,Kings XI Punjab,Barabati Stadium,wickets,8.0,161.0
Delhi Daredevils,Kolkata Knight Riders,7,Delhi Daredevils,bat,Kolkata Knight Riders,Feroz Shah Kotla,runs,44.0,232.0
Rajasthan Royals,Sunrisers Hyderabad,7,Rajasthan Royals,field,Sunrisers Hyderabad,"Sardar Patel Stadium, Motera",runs,32.0,135.0
Royal Challengers Bangalore,Kings XI Punjab,7,Royal Challengers Bangalore,field,Kings XI Punjab,M Chinnaswamy Stadium,runs,32.0,199.0
Mumbai Indians,Chennai Super Kings,7,Chennai Super Kings,field,Chennai Super Kings,Wankhede Stadium,wickets,8.0,43.0
Delhi Daredevils,Sunrisers Hyderabad,7,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Feroz Shah Kotla,wickets,4.0,158.0
Royal Challengers Bangalore,Rajasthan Royals,7,Royal Challengers Bangalore,bat,Rajasthan Royals,M Chinnaswamy Stadium,wickets,9.0,150.0
Kings XI Punjab,Kolkata Knight Riders,7,Kolkata Knight Riders,field,Kolkata Knight Riders,Barabati Stadium,wickets,5.0,191.0
Sunrisers Hyderabad,Mumbai Indians,7,Sunrisers Hyderabad,bat,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",wickets,7.0,158.0
Royal Challengers Bangalore,Delhi Daredevils,7,Delhi Daredevils,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,wickets,5.0,149.0
Chennai Super Kings,Rajasthan Royals,7,Rajasthan Royals,bat,Chennai Super Kings,JSCA International Stadium Complex,runs,16.0,187.0
Kolkata Knight Riders,Mumbai Indians,7,Kolkata Knight Riders,field,Kolkata Knight Riders,Barabati Stadium,wickets,6.0,206.0
Sunrisers Hyderabad,Kings XI Punjab,7,Kings XI Punjab,field,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",wickets,6.0,142.0
Rajasthan Royals,Delhi Daredevils,7,Delhi Daredevils,field,Rajasthan Royals,"Sardar Patel Stadium, Motera",runs,62.0,202.0
Chennai Super Kings,Royal Challengers Bangalore,7,Chennai Super Kings,bat,Royal Challengers Bangalore,JSCA International Stadium Complex,wickets,5.0,139.0
Sunrisers Hyderabad,Kolkata Knight Riders,7,Sunrisers Hyderabad,bat,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",wickets,7.0,143.0
Rajasthan Royals,Mumbai Indians,7,Mumbai Indians,bat,Mumbai Indians,"Sardar Patel Stadium, Motera",runs,25.0,179.0
Delhi Daredevils,Kings XI Punjab,7,Kings XI Punjab,field,Kings XI Punjab,Feroz Shah Kotla,wickets,4.0,165.0
Kolkata Knight Riders,Chennai Super Kings,7,Kolkata Knight Riders,field,Kolkata Knight Riders,Eden Gardens,wickets,7.0,161.0
Sunrisers Hyderabad,Royal Challengers Bangalore,7,Royal Challengers Bangalore,bat,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",wickets,8.0,155.0
Kings XI Punjab,Mumbai Indians,7,Mumbai Indians,field,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",wickets,7.0,157.0
Kolkata Knight Riders,Royal Challengers Bangalore,7,Royal Challengers Bangalore,field,Kolkata Knight Riders,Eden Gardens,runs,30.0,196.0
Chennai Super Kings,Sunrisers Hyderabad,7,Sunrisers Hyderabad,field,Sunrisers Hyderabad,JSCA International Stadium Complex,wickets,6.0,186.0
Kings XI Punjab,Rajasthan Royals,7,Rajasthan Royals,field,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",runs,15.0,174.0
Mumbai Indians,Delhi Daredevils,7,Delhi Daredevils,field,Mumbai Indians,Wankhede Stadium,runs,16.0,180.0
Royal Challengers Bangalore,Chennai Super Kings,7,Chennai Super Kings,field,Chennai Super Kings,M Chinnaswamy Stadium,wickets,8.0,155.0
Kolkata Knight Riders,Sunrisers Hyderabad,7,Kolkata Knight Riders,field,Kolkata Knight Riders,Eden Gardens,wickets,4.0,161.0
Kings XI Punjab,Delhi Daredevils,7,Kings XI Punjab,field,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",wickets,7.0,116.0
Mumbai Indians,Rajasthan Royals,7,Mumbai Indians,field,Mumbai Indians,Wankhede Stadium,wickets,5.0,190.0
Kings XI Punjab,Kolkata Knight Riders,7,Kings XI Punjab,field,Kolkata Knight Riders,Eden Gardens,runs,28.0,164.0
Chennai Super Kings,Mumbai Indians,7,Chennai Super Kings,field,Chennai Super Kings,Brabourne Stadium,wickets,7.0,174.0
Chennai Super Kings,Kings XI Punjab,7,Chennai Super Kings,field,Kings XI Punjab,Wankhede Stadium,runs,24.0,227.0
Kolkata Knight Riders,Kings XI Punjab,7,Kolkata Knight Riders,field,Kolkata Knight Riders,M Chinnaswamy Stadium,wickets,3.0,200.0
Kolkata Knight Riders,Mumbai Indians,8,Kolkata Knight Riders,field,Kolkata Knight Riders,Eden Gardens,wickets,7.0,169.0
Chennai Super Kings,Delhi Daredevils,8,Delhi Daredevils,field,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",runs,1.0,151.0
Kings XI Punjab,Rajasthan Royals,8,Kings XI Punjab,field,Rajasthan Royals,Maharashtra Cricket Association Stadium,runs,26.0,163.0
Chennai Super Kings,Sunrisers Hyderabad,8,Chennai Super Kings,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",runs,45.0,210.0
Kolkata Knight Riders,Royal Challengers Bangalore,8,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Eden Gardens,wickets,3.0,178.0
Mumbai Indians,Kings XI Punjab,8,Mumbai Indians,field,Kings XI Punjab,Wankhede Stadium,wickets,3.0,185.0
Delhi Daredevils,Rajasthan Royals,8,Rajasthan Royals,field,Rajasthan Royals,Feroz Shah Kotla,runs,18.0,178.0
Royal Challengers Bangalore,Sunrisers Hyderabad,8,Sunrisers Hyderabad,field,Sunrisers Hyderabad,M Chinnaswamy Stadium,wickets,8.0,167.0
Rajasthan Royals,Mumbai Indians,8,Mumbai Indians,bat,Rajasthan Royals,"Sardar Patel Stadium, Motera",wickets,7.0,165.0
Kings XI Punjab,Delhi Daredevils,8,Kings XI Punjab,bat,Delhi Daredevils,Maharashtra Cricket Association Stadium,wickets,5.0,166.0
Sunrisers Hyderabad,Rajasthan Royals,8,Rajasthan Royals,field,Rajasthan Royals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,wickets,6.0,128.0
Mumbai Indians,Chennai Super Kings,8,Mumbai Indians,bat,Chennai Super Kings,Wankhede Stadium,wickets,6.0,184.0
Kings XI Punjab,Kolkata Knight Riders,8,Kolkata Knight Riders,field,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,runs,4.0,168.0
Sunrisers Hyderabad,Delhi Daredevils,8,Delhi Daredevils,bat,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,wickets,4.0,156.0
Rajasthan Royals,Chennai Super Kings,8,Chennai Super Kings,bat,Rajasthan Royals,"Sardar Patel Stadium, Motera",wickets,8.0,157.0
Royal Challengers Bangalore,Mumbai Indians,8,Royal Challengers Bangalore,field,Mumbai Indians,M Chinnaswamy Stadium,runs,18.0,210.0
Delhi Daredevils,Kolkata Knight Riders,8,Kolkata Knight Riders,field,Kolkata Knight Riders,Feroz Shah Kotla,wickets,6.0,147.0
Sunrisers Hyderabad,Kolkata Knight Riders,8,Kolkata Knight Riders,field,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,runs,16.0,118.0
Royal Challengers Bangalore,Chennai Super Kings,8,Royal Challengers Bangalore,field,Chennai Super Kings,M Chinnaswamy Stadium,runs,27.0,182.0
Delhi Daredevils,Mumbai Indians,8,Mumbai Indians,field,Delhi Daredevils,Feroz Shah Kotla,runs,37.0,191.0
Rajasthan Royals,Royal Challengers Bangalore,8,Royal Challengers Bangalore,field,Royal Challengers Bangalore,"Sardar Patel Stadium, Motera",wickets,9.0,131.0
Mumbai Indians,Sunrisers Hyderabad,8,Mumbai Indians,bat,Mumbai Indians,Wankhede Stadium,runs,20.0,158.0
Chennai Super Kings,Kings XI Punjab,8,Chennai Super Kings,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",runs,97.0,193.0
Delhi Daredevils,Royal Challengers Bangalore,8,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Feroz Shah Kotla,wickets,10.0,96.0
Kings XI Punjab,Sunrisers Hyderabad,8,Kings XI Punjab,field,Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",runs,20.0,151.0
Chennai Super Kings,Kolkata Knight Riders,8,Kolkata Knight Riders,field,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",runs,2.0,135.0
Kolkata Knight Riders,Chennai Super Kings,8,Kolkata Knight Riders,field,Kolkata Knight Riders,Eden Gardens,wickets,7.0,166.0
Delhi Daredevils,Kings XI Punjab,8,Delhi Daredevils,field,Delhi Daredevils,Feroz Shah Kotla,wickets,9.0,119.0
Mumbai Indians,Rajasthan Royals,8,Rajasthan Royals,field,Mumbai Indians,Wankhede Stadium,runs,8.0,188.0
Sunrisers Hyderabad,Chennai Super Kings,8,Chennai Super Kings,field,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",wickets,7.0,112.0
Royal Challengers Bangalore,Kolkata Knight Riders,8,Royal Challengers Bangalore,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,runs,22.0,193.0
Rajasthan Royals,Delhi Daredevils,8,Delhi Daredevils,field,Rajasthan Royals,Brabourne Stadium,runs,23.0,173.0
Kings XI Punjab,Mumbai Indians,8,Mumbai Indians,bat,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",runs,14.0,190.0
Chennai Super Kings,Royal Challengers Bangalore,8,Chennai Super Kings,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",runs,24.0,149.0
Kolkata Knight Riders,Sunrisers Hyderabad,8,Sunrisers Hyderabad,field,Kolkata Knight Riders,Eden Gardens,runs,35.0,168.0
Mumbai Indians,Delhi Daredevils,8,Delhi Daredevils,bat,Mumbai Indians,Wankhede Stadium,wickets,5.0,153.0
Royal Challengers Bangalore,Kings XI Punjab,8,Kings XI Punjab,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,runs,138.0,227.0
Rajasthan Royals,Sunrisers Hyderabad,8,Rajasthan Royals,field,Sunrisers Hyderabad,Brabourne Stadium,runs,13.0,172.0
Kolkata Knight Riders,Delhi Daredevils,8,Kolkata Knight Riders,bat,Kolkata Knight Riders,Eden Gardens,runs,7.0,202.0
Chennai Super Kings,Mumbai Indians,8,Chennai Super Kings,bat,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",wickets,6.0,159.0
Kolkata Knight Riders,Kings XI Punjab,8,Kings XI Punjab,bat,Kolkata Knight Riders,Eden Gardens,wickets,1.0,184.0
Delhi Daredevils,Sunrisers Hyderabad,8,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Shaheed Veer Narayan Singh International Stadium,runs,6.0,164.0
Mumbai Indians,Royal Challengers Bangalore,8,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Wankhede Stadium,runs,39.0,236.0
Chennai Super Kings,Rajasthan Royals,8,Chennai Super Kings,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",runs,12.0,158.0
Sunrisers Hyderabad,Kings XI Punjab,8,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",runs,5.0,186.0
Delhi Daredevils,Chennai Super Kings,8,Chennai Super Kings,bat,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,wickets,6.0,120.0
Kings XI Punjab,Royal Challengers Bangalore,8,Royal Challengers Bangalore,field,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",runs,22.0,107.0
Mumbai Indians,Kolkata Knight Riders,8,Kolkata Knight Riders,field,Mumbai Indians,Wankhede Stadium,runs,5.0,172.0
Sunrisers Hyderabad,Royal Challengers Bangalore,8,Sunrisers Hyderabad,bat,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",wickets,6.0,81.0
Rajasthan Royals,Kolkata Knight Riders,8,Rajasthan Royals,bat,Rajasthan Royals,Brabourne Stadium,wickets,7.0,131.0
Kings XI Punjab,Chennai Super Kings,8,Kings XI Punjab,bat,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",runs,9.0,200.0
Sunrisers Hyderabad,Mumbai Indians,8,Sunrisers Hyderabad,bat,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",wickets,9.0,114.0
Chennai Super Kings,Mumbai Indians,8,Mumbai Indians,bat,Mumbai Indians,Wankhede Stadium,runs,25.0,188.0
Royal Challengers Bangalore,Rajasthan Royals,8,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,runs,71.0,181.0
Chennai Super Kings,Royal Challengers Bangalore,8,Chennai Super Kings,field,Chennai Super Kings,JSCA International Stadium Complex,wickets,3.0,140.0
Mumbai Indians,Chennai Super Kings,8,Chennai Super Kings,field,Mumbai Indians,Eden Gardens,runs,41.0,203.0
Mumbai Indians,Rising Pune Supergiants,9,Mumbai Indians,bat,Rising Pune Supergiants,Wankhede Stadium,wickets,9.0,122.0
Kolkata Knight Riders,Delhi Daredevils,9,Kolkata Knight Riders,field,Kolkata Knight Riders,Eden Gardens,wickets,9.0,99.0
Kings XI Punjab,Gujarat Lions,9,Gujarat Lions,field,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",wickets,5.0,162.0
Royal Challengers Bangalore,Sunrisers Hyderabad,9,Sunrisers Hyderabad,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,runs,45.0,228.0
Kolkata Knight Riders,Mumbai Indians,9,Mumbai Indians,field,Mumbai Indians,Eden Gardens,wickets,6.0,188.0
Gujarat Lions,Rising Pune Supergiants,9,Rising Pune Supergiants,bat,Gujarat Lions,Saurashtra Cricket Association Stadium,wickets,7.0,164.0
Delhi Daredevils,Kings XI Punjab,9,Delhi Daredevils,field,Delhi Daredevils,Feroz Shah Kotla,wickets,8.0,112.0
Sunrisers Hyderabad,Kolkata Knight Riders,9,Sunrisers Hyderabad,bat,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",wickets,8.0,143.0
Mumbai Indians,Gujarat Lions,9,Gujarat Lions,field,Gujarat Lions,Wankhede Stadium,wickets,3.0,144.0
Kings XI Punjab,Rising Pune Supergiants,9,Rising Pune Supergiants,bat,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",wickets,6.0,153.0
Royal Challengers Bangalore,Delhi Daredevils,9,Delhi Daredevils,field,Delhi Daredevils,M Chinnaswamy Stadium,wickets,7.0,192.0
Sunrisers Hyderabad,Mumbai Indians,9,Sunrisers Hyderabad,field,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",wickets,7.0,143.0
Kings XI Punjab,Kolkata Knight Riders,9,Kolkata Knight Riders,field,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali",wickets,6.0,139.0
Mumbai Indians,Royal Challengers Bangalore,9,Mumbai Indians,field,Mumbai Indians,Wankhede Stadium,wickets,6.0,171.0
Gujarat Lions,Sunrisers Hyderabad,9,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Saurashtra Cricket Association Stadium,wickets,10.0,136.0
Rising Pune Supergiants,Royal Challengers Bangalore,9,Rising Pune Supergiants,field,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,runs,13.0,186.0
Sunrisers Hyderabad,Kings XI Punjab,9,Sunrisers Hyderabad,field,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",runs,10.0,165.0
Delhi Daredevils,Mumbai Indians,9,Mumbai Indians,field,Delhi Daredevils,Feroz Shah Kotla,wickets,5.0,144.0
Rising Pune Supergiants,Kolkata Knight Riders,9,Kolkata Knight Riders,field,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,wickets,6.0,181.0
Gujarat Lions,Royal Challengers Bangalore,9,Royal Challengers Bangalore,bat,Gujarat Lions,Saurashtra Cricket Association Stadium,wickets,2.0,161.0
Kings XI Punjab,Mumbai Indians,9,Kings XI Punjab,field,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali",runs,25.0,190.0
Sunrisers Hyderabad,Rising Pune Supergiants,9,Rising Pune Supergiants,field,Rising Pune Supergiants,"Rajiv Gandhi International Stadium, Uppal",runs,34.0,61.0
Delhi Daredevils,Gujarat Lions,9,Delhi Daredevils,field,Gujarat Lions,Feroz Shah Kotla,runs,1.0,173.0
Mumbai Indians,Kolkata Knight Riders,9,Mumbai Indians,field,Mumbai Indians,Wankhede Stadium,wickets,6.0,175.0
Rising Pune Supergiants,Gujarat Lions,9,Gujarat Lions,field,Gujarat Lions,Maharashtra Cricket Association Stadium,wickets,3.0,196.0
Sunrisers Hyderabad,Royal Challengers Bangalore,9,Royal Challengers Bangalore,field,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",runs,27.0,187.0
Delhi Daredevils,Kolkata Knight Riders,9,Kolkata Knight Riders,field,Delhi Daredevils,Feroz Shah Kotla,runs,15.0,195.0
Gujarat Lions,Kings XI Punjab,9,Gujarat Lions,field,Kings XI Punjab,Saurashtra Cricket Association Stadium,runs,23.0,155.0
Rising Pune Supergiants,Mumbai Indians,9,Mumbai Indians,field,Mumbai Indians,Maharashtra Cricket Association Stadium,wickets,8.0,160.0
Royal Challengers Bangalore,Kolkata Knight Riders,9,Kolkata Knight Riders,field,Kolkata Knight Riders,M Chinnaswamy Stadium,wickets,5.0,186.0
Gujarat Lions,Delhi Daredevils,9,Delhi Daredevils,field,Delhi Daredevils,Saurashtra Cricket Association Stadium,wickets,8.0,150.0
Kolkata Knight Riders,Kings XI Punjab,9,Kings XI Punjab,field,Kolkata Knight Riders,Eden Gardens,runs,7.0,165.0
Delhi Daredevils,Rising Pune Supergiants,9,Rising Pune Supergiants,field,Rising Pune Supergiants,Feroz Shah Kotla,wickets,7.0,163.0
Sunrisers Hyderabad,Gujarat Lions,9,Sunrisers Hyderabad,field,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",wickets,5.0,127.0
Kings XI Punjab,Delhi Daredevils,9,Delhi Daredevils,field,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",wickets,7.0,192.0
Royal Challengers Bangalore,Rising Pune Supergiants,9,Royal Challengers Bangalore,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,runs,9.0,182.0
Kolkata Knight Riders,Gujarat Lions,9,Gujarat Lions,field,Gujarat Lions,Eden Gardens,runs,85.0,178.0
Mumbai Indians,Sunrisers Hyderabad,9,Mumbai Indians,field,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,wickets,5.0,159.0
Kings XI Punjab,Royal Challengers Bangalore,9,Kings XI Punjab,field,Royal Challengers Bangalore,"Punjab Cricket Association IS Bindra Stadium, Mohali",runs,1.0,176.0
Rising Pune Supergiants,Sunrisers Hyderabad,9,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,runs,4.0,138.0
Royal Challengers Bangalore,Mumbai Indians,9,Mumbai Indians,field,Mumbai Indians,M Chinnaswamy Stadium,wickets,6.0,152.0
Sunrisers Hyderabad,Delhi Daredevils,9,Delhi Daredevils,field,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",wickets,7.0,147.0
Mumbai Indians,Kings XI Punjab,9,Mumbai Indians,bat,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,wickets,7.0,125.0
Royal Challengers Bangalore,Gujarat Lions,9,Gujarat Lions,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,runs,144.0,249.0
Kolkata Knight Riders,Rising Pune Supergiants,9,Rising Pune Supergiants,bat,Kolkata Knight Riders,Eden Gardens,wickets,8.0,66.0
Kings XI Punjab,Sunrisers Hyderabad,9,Kings XI Punjab,bat,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali",wickets,7.0,180.0
Mumbai Indians,Delhi Daredevils,9,Delhi Daredevils,field,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,runs,80.0,207.0
Kolkata Knight Riders,Royal Challengers Bangalore,9,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Eden Gardens,wickets,9.0,184.0
Rising Pune Supergiants,Delhi Daredevils,9,Rising Pune Supergiants,field,Rising Pune Supergiants,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,runs,19.0,58.0
Royal Challengers Bangalore,Kings XI Punjab,9,Kings XI Punjab,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,runs,82.0,203.0
Gujarat Lions,Kolkata Knight Riders,9,Gujarat Lions,field,Gujarat Lions,Green Park,wickets,6.0,125.0
Delhi Daredevils,Sunrisers Hyderabad,9,Delhi Daredevils,field,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,wickets,6.0,159.0
Rising Pune Supergiants,Kings XI Punjab,9,Kings XI Punjab,bat,Rising Pune Supergiants,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,wickets,4.0,173.0
Gujarat Lions,Mumbai Indians,9,Gujarat Lions,field,Gujarat Lions,Green Park,wickets,6.0,173.0
Kolkata Knight Riders,Sunrisers Hyderabad,9,Sunrisers Hyderabad,field,Kolkata Knight Riders,Eden Gardens,runs,22.0,172.0
Delhi Daredevils,Royal Challengers Bangalore,9,Royal Challengers Bangalore,field,Royal Challengers Bangalore,Shaheed Veer Narayan Singh International Stadium,wickets,6.0,139.0
Gujarat Lions,Royal Challengers Bangalore,9,Royal Challengers Bangalore,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,wickets,4.0,159.0
Sunrisers Hyderabad,Kolkata Knight Riders,9,Kolkata Knight Riders,field,Sunrisers Hyderabad,Feroz Shah Kotla,runs,22.0,163.0
Gujarat Lions,Sunrisers Hyderabad,9,Sunrisers Hyderabad,field,Sunrisers Hyderabad,Feroz Shah Kotla,wickets,4.0,163.0
Royal Challengers Bangalore,Sunrisers Hyderabad,9,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,M Chinnaswamy Stadium,runs,8.0,209.0
Sunrisers Hyderabad,Royal Challengers Bangalore,10,Royal Challengers Bangalore,field,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",runs,35.0,208.0
Rising Pune Supergiant,Mumbai Indians,10,Rising Pune Supergiant,field,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,wickets,7.0,185.0
Gujarat Lions,Kolkata Knight Riders,10,Kolkata Knight Riders,field,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,wickets,10.0,184.0
